species,TS
Macroglossus_minimus,13.4
Syconycteris_australis,18.6
Melonycteris_melanops,9.2
Dobsonia_praedatrix,1.1
Dobsonia_minor,3
Dobsonia_moluccensis,1
Dobsonia_anderseni,1.1
Pteropus_pumilus,1.6
Pteropus_hypomelanus,2.7
Pteropus_poliocephalus,2.3
Pteropus_rodricensis,1.5
Pteropus_giganteus,1.2
Pteropus_vampyrus,2.8
Pteropus_scapulatus,3.6
Saccopteryx_bilineata,12
Peropteryx_macrotis,10.2
Macroderma_gigas,1
Rhinolophus_capensis,17.7
Rhinolophus_ferrumequinum,31
Rhinonicteris_aurantia,7.2
Hipposideros_galeritus,7.4
Hipposideros_maggietaylorae,4
Hipposideros_cervinus,9.9
Hipposideros_armiger,16.5
Hipposideros_diadema,3.9
Natalus_tumidirostris,12.2
Noctilio_albiventris,3.8
Noctilio_leporinus,6.8
Mormoops_megalophylla,1.9
Pteronotus_parnellii,2.8
Pteronotus_davyi,23.6
Pteronotus_personatus,19.7
Pteronotus_quadridens,10.2
Diphylla_ecaudata,7.3
Desmodus_rotundus,8
Diaemus_youngi,2.7
Macrotus_californicus,14
Chrotopterus_auritus,2.2
Tonatia_bidens,4.6
Phyllostomus_discolor,5.6
Phyllostomus_hastatus,3.6
Erophylla_bombifrons,4
Leptonycteris_curasoae,5.3
Monophyllus_redmani,6.3
Glossophaga_soricina,17.2
Glossophaga_longirostris,2.7
Anoura_caudifer,3.3
Anoura_latidens,1.1
Choeroniscus_godmani,5.6
Rhinophylla_pumilio,18.7
Carollia_perspicillata,11.3
Sturnira_lilium,11.4
Sturnira_erythromos,22.4
Artibeus_concolor,2.3
Artibeus_jamaicensis,0.8
Artibeus_lituratus,2.6
Uroderma_bilobatum,1.5
Platyrrhinus_helleri,10.3
Platyrrhinus_lineatus,1.8
Tadarida_brasiliensis,25
Tadarida_aegyptiaca,31.8
Tadarida_teniotis,12.6
Molossus_molossus,3.7
Eumops_perotis,22.1
Mops_condylurus,19.5
Miniopterus_schreibersii,31.1
Lasionycteris_noctivagans,21.308
Nycticeius_humeralis,33.6
Otonycteris_hemprichii,17.3
Perimyotis_subflavus,13.984
Antrozous_pallidus,15.5
Histiotus_velatus,16.1
Vespadelus_pumilus,16
Vespadelus_vulturnus,28.3
Nyctalus_noctula,31.7
Chalinolobus_gouldii,28.7
Chalinolobus_morio,31.6
Lasiurus_intermedius,25.8
Lasiurus_cinereus,25.4
Lasiurus_borealis,32.7
Lasiurus_seminolus,33
Nyctophilus_geoffroyi,34.3
Nyctophilus_gouldi,33.7
Nyctophilus_bifax,24.8
Nyctophilus_timoriensis,27.2
Barbastella_barbastellus,32.5
Scotophilus_mhlanganii,17.6
Scotophilus_leucogaster,16.204
Scotophilus_dinganii,14.4
Pipistrellus_pipistrellus,34
Eptesicus_fuscus,34.7
Murina_leucogaster,25.7
Myotis_lucifugus,40.5
Myotis_velifer,12.3
Myotis_daubentonii,17.8
Myotis_myotis,33
Myotis_evotis,28.8
Myotis_nattereri,27
Myotis_sodalis,38.3
Condylura_cristata,1.1
Scalopus_aquaticus,0.6
Neurotrichus_gibbsii,2.5
Echinosorex_gymnura,0.3
Hylomys_suillus,1.2
Paraechinus_aethiopicus,1.1
Hemiechinus_auritus,0.1
Erinaceus_concolor,5.7
Erinaceus_europaeus,30
Atelerix_frontalis,32.9
Atelerix_albiventris,1
Crocidura_jouvenetae,0.8
Crocidura_hildegardeae,0.2
Crocidura_luna,0.8
Crocidura_olivieri,0.5
Crocidura_russula,17.5
Crocidura_poensis,3.4
Crocidura_suaveolens,0.6
Crocidura_viaria,0
Myosorex_varius,2.4
Suncus_etruscus,29.7
Suncus_murinus,6
Sorex_alpinus,0.4
Sorex_coronatus,1.6
Sorex_minutus,1
Sorex_cinereus,0.6
Sorex_palustris,2.1
Blarina_brevicauda,2.5
Neomys_fodiens,0.4
Notiosorex_crawfordi,10
Tamandua_tetradactyla,1.5
Tamandua_mexicana,2.5
Myrmecophaga_tridactyla,2.2
Cyclopes_didactylus,17
Euphractus_sexcinctus,0.5
Zaedyus_pichiy,17.5
Chaetophractus_nationi,1.1
Chaetophractus_vellerosus,1
Chaetophractus_villosus,0.7
Priodontes_maximus,0.6
Tolypeutes_matacus,1.5
Cabassous_centralis,0.7
Dasypus_novemcinctus,2.5
Chrysochloris_asiatica,10.4
Eremitalpa_granti,21.5
Amblysomus_hottentotus,25
Neamblysomus_julianae,6
Geogale_aurita,14.6
Microgale_dobsoni,13
Microgale_cowani,3
Microgale_talazaci,10.7
Tenrec_ecaudatus,17
Setifer_setosus,19
Echinops_telfairi,18.7
Elephantulus_brachyrhynchus,1
Elephantulus_intufi,2.1
Elephantulus_rupestris,29.1
Elephantulus_rufescens,4.8
Elephantulus_edwardii,28.5
Elephantulus_myurus,27.1
Elephantulus_rozeti,31.7
Macroscelides_proboscideus,27.9
Petrodromus_tetradactylus,2.3
Orycteropus_afer,0.3
Trichechus_inunguis,2.9
Heterohyrax_brucei,0.5
Procavia_capensis,0.1
Procavia_capensis_habessinica,0.9
Procavia_capensis_johnstoni,0.3
Elephas_maximus,1.3
Elephas_indicus,0.3
Loxodonta_africana,0.7
Acrobates_pygmaeus,30.7
Tarsipes_rostratus,31.2
Petaurus_breviceps,20.7
Petauroides_volans,0.5
Pseudocheirus_peregrinus,1.5
Phalanger_carmelitae,1.4
Phalanger_orientalis,1
Phalanger_intercastellanus,1.2
Phalanger_sericeus,0.5
Phalanger_gymnotis,0.4
Spilocuscus_maculatus,0.7
Trichosurus_vulpecula,2.4
Burramys_parvus,33.9
Cercartetus_concinnus,29.7
Cercartetus_lepidus,27.8
Cercartetus_nanus,30.3
Bettongia_gaimardi,1.2
Dendrolagus_matschiei,0.8
Lagorchestes_conspicillatus,5
Macropus_eugenii,0.8
Macropus_rufus,0.5
Macropus_fuliginosus,2
Macropus_giganteus,0
Setonix_brachyurus,1.7
Lasiorhinus_latifrons,5.1
Phascolarctos_cinereus,0.4
Dromiciops_gliroides,21.3
Antechinus_flavipes,10.5
Antechinus_stuartii,15.1
Dasyuroides_byrnei,13.9
Dasycercus_cristicauda,24.5
Dasycercus_blythi,25.6
Dasyurus_geoffroii,12.3
Dasyurus_viverrinus,3
Dasyurus_maculatus,1.8
Dasyurus_hallucatus,2.3
Sarcophilus_harrisii,4.4
Pseudantechinus_macdonnellensis,19.3
Dasykaluta_rosamondae,9.2
Ningaui_yvonnae,19.1
Sminthopsis_murina,20
Sminthopsis_psammophila,11.6
Sminthopsis_macroura,20
Sminthopsis_crassicaudata,21.1
Antechinomys_laniger,23.8
Planigale_gilesi,26.5
Planigale_maculata,14.6
Myrmecobius_fasciatus,18.2
Notoryctes_caurinus,6.9
Isoodon_auratus,1.4
Isoodon_obesulus,3.6
Isoodon_macrourus,2
Perameles_gunnii,2.1
Perameles_nasuta,1.1
Macrotis_lagotis,2.8
Caenolestes_fuliginosus,1.2
Caluromys_derbianus,3
Chironectes_minimus,1.3
Didelphis_marsupialis,4
Didelphis_virginiana,5.5
Philander_opossum,1
Lutreolina_crassicaudata,1.1
Metachirus_nudicaudatus,2.8
Gracilinanus_agilis,12.5
Thylamys_elegans,20.2
Marmosa_robinsoni,13
Monodelphis_brevicaudata,3.4
