species	logmass3	region3	migstatus3	locomotion3
Helarctos_malayanus	4.67	subtroptropical	0	T
Ursus_maritimus	5.63	polar	1	T
Ursus_arctos	5.14	temperatesubtrop	1	T
Monachus_monachus	5.44	subtroptropical	1	W
Mirounga_leonina	6.2	temperate	1	W
Mirounga_angustirostris	5.88	temperate	1	W
Ommatophoca_rossii	5.4	polar	1	W
Leptonychotes_weddellii	5.6	temperate	0	W
Hydrurga_leptonyx	5.56	temperate	1	W
Erignathus_barbatus	5.45	polar	1	W
Cystophora_cristata	5.57	polar	1	W
Halichoerus_grypus	5.2	temperate	0	W
Phoca_vitulina	5	temperate	0	W
Phoca_largha	5.18	polartemperate	1	W
Callorhinus_ursinus	4.65	temperate	1	W
Eumetopias_jubatus	5.49	temperate	0	W
Neophoca_cinerea	5.28	subtropical	0	W
Arctocephalus_pusillus	5.25	subtroptropical	0	W
Arctocephalus_townsendi	5.02	subtropical	0	W
Arctocephalus_galapagoensis	4.43	tropical	0	W
Arctocephalus_forsteri	5.01	temperatesubtrop	0	W
Arctocephalus_australis	4.65	temperatesubtrop	0	W
Odobenus_rosmarus	5.92	polar	1	W
Potos_flavus	3.48	tropical	0	T
Bassaricyon_lasius	3.08	tropical	0	T
Bassaricyon_alleni	3.09	tropical	0	T
Mephitis_mephitis	3.32	temperate	0	T
Mephitis_macroura	2.9	subtropical	0	T
Gulo_gulo	4.16	polartemperate	0	T
Martes_americana	3.1	temperatesubtrop	1	T
Mustela_nivalis	1.67	global	0	T
Equus_zebra	5.46	subtroptropical	1	T
Equus_grevyi	5.61	tropical	1	T
Tapirus_pinchaque	5.17	tropical	1	T
Rhinoceros_unicornis	6.2	subtropical	0	T
Dicerorhinus_sumatrensis	6.1	tropical	1	T
Diceros_bicornis	6.07	subtroptropical	0	T
Ceratotherium_simum	6.47	subtroptropical	0	T
Vicugna_vicugna	4.68	tropical	0	T
Lama_guanicoe	5.08	subtroptropical	1	T
Eschrichtius_robustus	7.45	temperatesubtrop	1	W
Megaptera_novaeangliae	7.48	tropical	1	W
Balaenoptera_physalus	7.85	temperatesubtrop	1	W
Balaenoptera_musculus	8.28	temperatesubtrop	1	W
Balaenoptera_edeni	7.3	tropical	1	W
Balaenoptera_borealis	7.3	tropical	1	W
Balaenoptera_acutorostrata	7	tropical	1	W
Eubalaena_glacialis	7.36	temperate	1	W
Eubalaena_australis	7.36	temperate	1	W
Balaena_mysticetus	8	polar	1	W
Kogia_simus	5.26	tropical	1	W
Kogia_breviceps	5.63	tropical	1	W
Platanista_gangetica	5.06	subtropical	1	W
Hyperoodon_planifrons	6.48	temperate	1	W
Hyperoodon_ampullatus	6.76	temperate	1	W
Pontoporia_blainvillei	4.61	subtroptropical	1	W
Inia_geoffrensis	5.11	tropical	1	W
Monodon_monoceros	5.95	polar	1	W
Delphinapterus_leucas	6.13	polartemperate	1	W
Stenella_longirostris	5.13	subtropical	1	W
Sousa_teuszii	5	tropical	0	W
Sousa_chinensis	5.45	subtroptropical	0	W
Orcinus_orca	6.63	subtroptropical	1	W
Lagenorhynchus_albirostris	5.26	temperate	1	W
Globicephala_melas	5.9	temperatesubtrop	0	W
Globicephala_macrorhynchus	5.86	tropical	0	W
Feresa_attenuata	5.23	tropical	1	W
Tursiops_truncatus	5.24	temperatesubtrop	1	W
Stenella_coeruleoalba	4.7	tropical	0	W
Delphinus_delphis	4.9	tempsubtroptropical	1	W
Lagenorhynchus_obscurus	5.11	temperate	0	W
Lagenorhynchus_obliquidens	5.08	temperate	1	W
Phocoenoides_dalli	5.01	temperate	1	W
Phocoena_phocoena	4.72	temperate	1	W
Neophocaena_phocaenoides	4.51	tropical	1	W
Giraffa_camelopardalis	5.95	subtroptropical	1	T
Moschus_moschiferus	4.11	temperate	0	T
Cervus_nippon	4.72	subtropical	1	T
Cervus_elaphus	5.34	temperatesubtrop	1	T
Rangifer_tarandus	4.93	polartemperate	1	T
Pudu_puda	3.99	temperate	0	T
Odocoileus_virginianus	4.74	subtroptropical	1	T
Odocoileus_hemionus	4.73	temperatesubtrop	1	T
Hippocamelus_bisulcus	4.85	temperatesubtrop	0	T
Hippocamelus_antisensis	4.84	tropical	0	T
Capreolus_capreolus	4.35	temperatesubtrop	0	T
Alces_alces	5.56	temperate	1	T
Tragelaphus_imberbis	4.91	tropical	1	T
Tragelaphus_scriptus	4.64	tropical	0	T
Tragelaphus_angasii	4.94	tropical	0	T
Tragelaphus_strepsiceros	5.33	subtroptropical	1	T
Syncerus_caffer	5.76	subtroptropical	1	T
Bubalus_quarlesi	5.18	tropical	0	T
Bubalus_mindorensis	5.37	tropical	0	T
Bos_javanicus	5.85	subtroptropical	1	T
Bison_bonasus	5.7	temperate	1	T
Bison_bison	5.76	temperatesubtrop	1	T
Oreotragus_oreotragus	4.11	tropical	0	T
Neotragus_batesi	3.48	tropical	0	T
Redunca_fulvorufula	4.47	subtroptropical	0	T
Redunca_arundinum	4.76	subtroptropical	0	T
Kobus_vardonii	4.85	tropical	0	T
Kobus_kob	4.89	tropical	1	T
Kobus_megaceros	4.94	tropical	0	T
Kobus_leche	5.04	tropical	1	T
Raphicerus_melanotis	4.01	subtropical	0	T
Raphicerus_sharpei	3.98	tropical	0	T
Raphicerus_campestris	4.02	tropical	0	T
Saiga_tatarica	4.46	temperate	1	T
Litocranius_walleri	4.58	tropical	0	T
Antidorcas_marsupialis	4.59	subtropical	1	T
Aepyceros_melampus	4.72	tropical	0	T
Pantholops_hodgsonii	4.44	subtropical	1	T
